"Habitat","Stressor","Exposure","Consequence","Risk","Risk.pr","Subregion"
"HB","PrawnFishery","1.58","1.95","1.12","8.8","ClaySound"
"HB","FloatCabins","1.81","2.0","1.29","10.13","ClaySound"
"HB","CrabFishery","1.83","1.9","1.22","9.61","ClaySound"
"HB","ShellfishAquaculture","1.63","2.0","1.18","9.28","ClaySound"
"HB","ShrimpTrawl","1.32","2.01","1.06","8.34","ClaySound"
"HB","FinfishAquaculture","1.72","2.0","1.23","9.67","ClaySound"
"HB","LogHandlingStorage","1.5","2.0","1.12","8.79","ClaySound"
"HB","DMW","1.74","2.0","1.24","9.78","ClaySound"
"HB","AnchoragesRecBoating","1.67","2.0","1.21","9.48","ClaySound"
"HB","HeliLogDrop","1.31","2.0","1.05","8.24","ClaySound"
"HB","Geoducks","1.04","2.0","1.0","7.87","ClaySound"
"Kelp","PrawnFishery","1.49","1.73","0.88","9.34","ClaySound"
"Kelp","AnchoragesRecBoating","1.66","1.74","0.99","10.49","ClaySound"
"Kelp","CrabFishery","1.79","1.71","1.06","11.24","ClaySound"
"Kelp","ShellfishAquaculture","1.63","1.75","0.98","10.31","ClaySound"
"Kelp","ShrimpTrawl","1.29","1.75","0.81","8.54","ClaySound"
"Kelp","FloatCabins","1.9","1.75","1.17","12.33","ClaySound"
"Kelp","HeliLogDrop","0.0","0.0","0.0","0.0","ClaySound"
"Kelp","LogHandlingStorage","1.17","1.75","0.77","8.13","ClaySound"
"Kelp","DMW","1.74","1.75","1.05","11.13","ClaySound"
"Kelp","Geoducks","1.08","1.71","0.71","7.54","ClaySound"
"Kelp","FinfishAquaculture","1.72","1.75","1.04","10.94","ClaySound"
"Eelgrass","PrawnFishery","1.52","1.5","0.72","9.04","ClaySound"
"Eelgrass","FinfishAquaculture","1.72","1.5","0.87","11.03","ClaySound"
"Eelgrass","CrabFishery","1.89","1.45","0.99","12.56","ClaySound"
"Eelgrass","ShellfishAquaculture","1.64","1.51","0.82","10.32","ClaySound"
"Eelgrass","LogHandlingStorage","1.53","1.51","0.73","9.24","ClaySound"
"Eelgrass","FloatCabins","1.84","1.5","0.98","12.38","ClaySound"
"Eelgrass","HeliLogDrop","0.0","0.0","0.0","0.0","ClaySound"
"Eelgrass","DMW","1.71","1.51","0.87","11.05","ClaySound"
"Eelgrass","AnchoragesRecBoating","1.69","1.51","0.86","10.84","ClaySound"
"Eelgrass","Geoducks","1.06","1.49","0.49","6.19","ClaySound"
"Eelgrass","ShrimpTrawl","1.29","1.5","0.58","7.34","ClaySound"
"SB","PrawnFishery","1.63","1.0","0.63","9.91","ClaySound"
"SB","FinfishAquaculture","1.72","1.0","0.72","11.33","ClaySound"
"SB","CrabFishery","1.88","1.0","0.88","13.95","ClaySound"
"SB","ShellfishAquaculture","1.6","1.0","0.6","9.55","ClaySound"
"SB","LogHandlingStorage","1.51","1.01","0.51","8.09","ClaySound"
"SB","FloatCabins","1.82","1.0","0.82","12.93","ClaySound"
"SB","ShrimpTrawl","1.38","1.08","0.39","6.13","ClaySound"
"SB","DMW","1.7","1.0","0.7","10.99","ClaySound"
"SB","AnchoragesRecBoating","1.67","1.0","0.67","10.52","ClaySound"
"SB","HeliLogDrop","1.38","1.0","0.38","5.93","ClaySound"
"SB","Geoducks","1.04","1.0","0.04","0.69","ClaySound"
"HB","PrawnFishery","1.66","1.9","1.11","8.61","BarkleySound"
"HB","FloatCabins","1.86","2.0","1.32","10.19","BarkleySound"
"HB","CrabFishery","1.82","1.9","1.22","9.44","BarkleySound"
"HB","ShellfishAquaculture","1.65","1.99","1.18","9.14","BarkleySound"
"HB","ShrimpTrawl","1.38","2.04","1.1","8.53","BarkleySound"
"HB","FinfishAquaculture","1.72","2.0","1.23","9.5","BarkleySound"
"HB","LogHandlingStorage","1.77","2.0","1.26","9.75","BarkleySound"
"HB","DMW","1.81","2.0","1.28","9.9","BarkleySound"
"HB","AnchoragesRecBoating","1.65","2.0","1.19","9.21","BarkleySound"
"HB","HeliLogDrop","1.27","2.0","1.04","8.0","BarkleySound"
"HB","Geoducks","1.03","2.0","1.0","7.73","BarkleySound"
"Kelp","PrawnFishery","1.56","1.72","0.91","10.88","BarkleySound"
"Kelp","AnchoragesRecBoating","1.66","1.74","0.99","11.84","BarkleySound"
"Kelp","CrabFishery","1.78","1.72","1.06","12.67","BarkleySound"
"Kelp","ShellfishAquaculture","1.63","1.75","0.98","11.73","BarkleySound"
"Kelp","ShrimpTrawl","1.29","1.76","0.81","9.72","BarkleySound"
"Kelp","FloatCabins","1.79","1.75","1.09","13.04","BarkleySound"
"Kelp","HeliLogDrop","1.13","1.75","0.76","9.11","BarkleySound"
"Kelp","LogHandlingStorage","0.0","0.0","0.0","0.0","BarkleySound"
"Kelp","DMW","1.69","1.75","1.02","12.21","BarkleySound"
"Kelp","Geoducks","1.03","1.73","0.73","8.8","BarkleySound"
"Kelp","FinfishAquaculture","0.0","0.0","0.0","0.0","BarkleySound"
"Eelgrass","PrawnFishery","1.68","1.48","0.84","11.93","BarkleySound"
"Eelgrass","FinfishAquaculture","0.0","0.0","0.0","0.0","BarkleySound"
"Eelgrass","CrabFishery","1.91","1.42","1.0","14.25","BarkleySound"
"Eelgrass","ShellfishAquaculture","1.74","1.58","0.94","13.43","BarkleySound"
"Eelgrass","LogHandlingStorage","1.77","1.52","0.92","13.18","BarkleySound"
"Eelgrass","FloatCabins","1.83","1.51","0.98","13.91","BarkleySound"
"Eelgrass","HeliLogDrop","0.0","0.0","0.0","0.0","BarkleySound"
"Eelgrass","DMW","1.84","1.52","0.99","14.1","BarkleySound"
"Eelgrass","AnchoragesRecBoating","1.69","1.51","0.86","12.21","BarkleySound"
"Eelgrass","Geoducks","1.05","1.49","0.49","6.99","BarkleySound"
"Eelgrass","ShrimpTrawl","0.0","0.0","0.0","0.0","BarkleySound"
"SB","PrawnFishery","1.77","1.0","0.77","11.35","BarkleySound"
"SB","FinfishAquaculture","1.72","1.0","0.72","10.6","BarkleySound"
"SB","CrabFishery","1.87","1.0","0.87","12.89","BarkleySound"
