"cellID","usdyav","usdyav_pr","cellArea","parks","usdyav_est"
1,0,0,16237500,0,0.38248265498065
2,0,0,16237500,0,0.38248265498065
3,0,0,16237500,0,0.38248265498065
4,0,0,16237500,0,0.38248265498065
5,0,0,16237500,0,0.38248265498065
6,0,0,16237500,0,0.38248265498065
7,0,0,16237500,0,0.38248265498065
8,0,0,16237500,0,0.38248265498065
9,0,0,16237500,0,0.38248265498065
10,0,0,16241250,0,0.38248265498065
11,0,0,16241250,0,0.38248265498065
12,0,0,16241250,0,0.38248265498065
13,0,0,16241250,0,0.38248265498065
14,0.125,0.013,16241250,0,0.38248265498065
15,0,0,16241250,0,0.38248265498065
16,0,0,16241250,0,0.38248265498065
17,0,0,16241250,0,0.38248265498065
18,0,0,16237500,0,0.38248265498065
19,0,0,16237500,0,0.38248265498065
20,0,0,16237500,0,0.38248265498065
21,0,0,16237500,0,0.38248265498065
22,0.125,0.013,16237500,2137381.29880301,0.4561782016547
23,0,0,16237500,0,0.38248265498065
24,0.125,0.013,16237500,0,0.38248265498065
25,0,0,16237500,0,0.38248265498065
26,0.125,0.013,16237500,0,0.38248265498065
27,0.5,0.052,16237500,2366774.01905984,0.46431733913064
28,2.5,0.258,16237500,11830100.0616773,0.842881779694865
29,0,0,16237500,0,0.38248265498065
30,0,0,16237500,0,0.38248265498065
31,0,0,16237500,0,0.38248265498065
32,0,0,16237500,0,0.38248265498065
33,0.625,0.065,16237500,0,0.38248265498065
34,4.625,0.478,16237500,14742499.0828075,0.978020225325822
35,0.125,0.013,16237500,156605.82316004,0.387753345068673
36,0,0,16237500,0,0.38248265498065
37,0,0,16237500,0,0.38248265498065
38,0,0,16237500,0,0.38248265498065
39,0,0,16237500,0,0.38248265498065
40,0,0,16237500,0,0.38248265498065
41,0,0,16237500,1459814.28869538,0.432400494366005
42,14.5,1.499,16237500,5104153.73055478,0.565025995521522
43,0,0,16237500,0,0.38248265498065
44,0,0,16237500,0,0.38248265498065
45,0,0,16237500,0,0.38248265498065
46,0.25,0.026,16237500,0,0.38248265498065
47,0,0,16237500,0,0.38248265498065
48,0.125,0.013,16237500,0,0.38248265498065
49,0.375,0.039,16237500,0,0.38248265498065
50,6,0.62,16237500,0,0.38248265498065
51,0,0,16237500,0,0.38248265498065
52,0.125,0.013,16237500,0,0.38248265498065
53,0,0,16237500,0,0.38248265498065
54,0,0,16237500,0,0.38248265498065
55,0.625,0.065,16237500,0,0.38248265498065
56,0.25,0.026,16237500,0,0.38248265498065
57,0.625,0.065,16237500,10277931.6052785,0.774672145248172
58,0.875,0.09,16237500,0,0.38248265498065
59,15.25,1.576,16237500,0,0.38248265498065
60,0.25,0.026,16237500,0,0.38248265498065
61,0,0,16237500,0,0.38248265498065
62,0,0,16237500,0,0.38248265498065
63,0.25,0.026,16237500,0,0.38248265498065
64,0.625,0.065,16237500,0,0.38248265498065
65,3.625,0.375,16237500,10243123.5315052,0.773171811754738
66,0.875,0.09,16237500,7949689.10277385,0.677062411390309
67,2.25,0.233,16237500,0,0.38248265498065
68,1.375,0.142,16237500,0,0.38248265498065
69,0,0,16237500,0,0.38248265498065
70,0,0,16237500,0,0.38248265498065
71,0,0,16237500,0,0.38248265498065
72,0,0,16237500,0,0.38248265498065
73,1.625,0.168,16237500,0,0.38248265498065
74,1.125,0.116,16237500,0,0.38248265498065
75,3.625,0.375,16237500,16237500,1.05119433215987
76,0.125,0.013,16237500,1111483.53682368,0.420328111199213
77,0.625,0.065,16237500,0,0.38248265498065
78,0.125,0.013,16237500,0,0.38248265498065
79,0.125,0.013,16237500,0,0.38248265498065
80,0,0,16237500,0,0.38248265498065
81,0,0,16237500,0,0.38248265498065
82,0,0,16237500,0,0.38248265498065
83,0.625,0.065,16237500,0,0.38248265498065
84,2.875,0.297,16237500,0,0.38248265498065
85,2.25,0.233,16237500,10455332.7917255,0.782338419156699
86,2,0.207,16237500,16171119.8941539,1.04788859834154
87,0,0,16237500,0,0.38248265498065
88,0.5,0.052,16237500,0,0.38248265498065
89,0,0,16237500,0,0.38248265498065
90,0.125,0.013,16237500,0,0.38248265498065
91,0.125,0.013,16237500,0,0.38248265498065
92,0,0,16237500,0,0.38248265498065
